Cycle,Year,DailyGDP,CyclyGDP,Population,GDPperCapita,Unemployment,Inflation
184,0.50411,372.023,1.01924,103,3.61188,0.106796,-2.22031e-14
185,0.506849,376.023,1.0302,103,3.65071,0.106796,2.22031e-14
186,0.509589,372.023,1.01924,103,3.61188,0.106796,-2.22031e-14
187,0.512329,384.024,1.05212,103,3.72839,0.106796,2.22031e-14
188,0.515068,368.023,1.00828,103,3.57304,0.106796,-2.22031e-14
189,0.517808,348.022,0.953484,103,3.37885,0.106796,-2.22031e-14
190,0.520548,384.024,1.05212,103,3.72839,0.106796,4.44062e-14
191,0.523288,376.023,1.0302,103,3.65071,0.106796,0
192,0.526027,360.022,0.986363,103,3.49536,0.106796,-2.22031e-14
193,0.528767,372.023,1.01924,103,3.61188,0.106796,0
194,0.531507,392.024,1.07404,103,3.80606,0.106796,2.22031e-14
195,0.534247,356.022,0.975403,103,3.45653,0.106796,-4.44062e-14
196,0.536986,372.023,1.01924,103,3.61188,0.106796,2.22031e-14
197,0.539726,364.023,0.997322,103,3.5342,0.106796,0
198,0.542466,368.023,1.00828,103,3.57304,0.106796,0
199,0.545205,364.023,0.997322,103,3.5342,0.106796,0
200,0.547945,384.024,1.05212,103,3.72839,0.106796,2.22031e-14
201,0.550685,380.024,1.04116,103,3.68955,0.106796,0
202,0.553425,364.023,0.997322,103,3.5342,0.106796,-2.22031e-14
203,0.556164,372.023,1.01924,103,3.61188,0.106796,0
204,0.558904,396.025,1.085,103,3.8449,0.106796,4.44062e-14
205,0.561644,384.024,1.05212,103,3.72839,0.106796,-2.22031e-14
206,0.564384,376.023,1.0302,103,3.65071,0.106796,0
207,0.567123,376.023,1.0302,103,3.65071,0.106796,0
208,0.569863,368.023,1.00828,103,3.57304,0.106796,-2.22031e-14
209,0.572603,380.024,1.04116,103,3.68955,0.106796,2.22031e-14
210,0.575342,384.024,1.05212,103,3.72839,0.106796,0
211,0.578082,396.025,1.085,103,3.8449,0.106796,2.22031e-14
212,0.580822,372.023,1.01924,103,3.61188,0.106796,-4.44062e-14
213,0.583562,368.023,1.00828,103,3.57304,0.106796,0
214,0.586301,368.023,1.00828,103,3.57304,0.106796,0
215,0.589041,360.022,0.986363,103,3.49536,0.106796,0
216,0.591781,380.024,1.04116,103,3.68955,0.106796,2.22031e-14
217,0.594521,368.023,1.00828,103,3.57304,0.106796,-2.22031e-14
218,0.59726,352.022,0.964444,103,3.41769,0.106796,-2.22031e-14
219,0.6,380.024,1.04116,103,3.68955,0.106796,4.44062e-14
220,0.60274,384.024,1.05212,103,3.72839,0.106796,0
221,0.605479,356.022,0.975403,103,3.45653,0.106796,-4.44062e-14
222,0.608219,372.023,1.01924,103,3.61188,0.106796,2.22031e-14
223,0.610959,356.022,0.975403,103,3.45653,0.106796,-2.22031e-14
224,0.613699,360.022,0.986363,103,3.49536,0.106796,2.22031e-14
225,0.616438,360.022,0.986363,103,3.49536,0.106796,0
226,0.619178,364.023,0.997322,103,3.5342,0.106796,0
227,0.621918,364.023,0.997322,103,3.5342,0.106796,0
228,0.624658,368.023,1.00828,103,3.57304,0.106796,0
229,0.627397,360.022,0.986363,103,3.49536,0.106796,0
230,0.630137,360.022,0.986363,103,3.49536,0.106796,0
231,0.632877,356.022,0.975403,103,3.45653,0.106796,-2.22031e-14
232,0.635616,376.023,1.0302,103,3.65071,0.106796,4.44062e-14
233,0.638356,368.023,1.00828,103,3.57304,0.106796,-2.22031e-14
234,0.641096,372.023,1.01924,103,3.61188,0.106796,0
235,0.643836,384.024,1.05212,103,3.72839,0.106796,2.22031e-14
236,0.646575,368.023,1.00828,103,3.57304,0.106796,-2.22031e-14
237,0.649315,372.023,1.01924,103,3.61188,0.106796,0
238,0.652055,380.024,1.04116,104,3.65407,0.115385,2.22031e-14
239,0.654795,380.024,1.04116,104,3.65407,0.115385,0
240,0.657534,372.023,1.01924,104,3.57715,0.115385,-2.22031e-14
241,0.660274,376.023,1.0302,104,3.61561,0.115385,2.22031e-14
242,0.663014,372.023,1.01924,104,3.57715,0.115385,-2.22031e-14
243,0.665753,368.023,1.00828,104,3.53868,0.115385,0
244,0.668493,380.024,1.04116,104,3.65407,0.115385,2.22031e-14
245,0.671233,372.023,1.01924,104,3.57715,0.115385,-2.22031e-14
246,0.673973,380.024,1.04116,104,3.65407,0.115385,2.22031e-14
247,0.676712,380.024,1.04116,104,3.65407,0.115385,0
248,0.679452,392.024,1.07404,104,3.76947,0.115385,0
249,0.682192,376.023,1.0302,104,3.61561,0.115385,0
250,0.684932,364.023,0.997322,104,3.50022,0.115385,-2.22031e-14
251,0.687671,376.023,1.0302,104,3.61561,0.115385,2.22031e-14
252,0.690411,388.024,1.06308,104,3.731,0.115385,0
253,0.693151,376.023,1.0302,104,3.61561,0.115385,0
254,0.69589,380.024,1.04116,104,3.65407,0.115385,0
255,0.69863,392.024,1.07404,104,3.76947,0.115385,0
256,0.70137,376.023,1.0302,104,3.61561,0.115385,0
257,0.70411,376.023,1.0302,104,3.61561,0.115385,0
258,0.706849,376.023,1.0302,104,3.61561,0.115385,0
259,0.709589,360.022,0.986363,104,3.46175,0.115385,-2.22031e-14
260,0.712329,364.023,0.997322,104,3.50022,0.115385,0
261,0.715068,392.024,1.07404,104,3.76947,0.115385,2.22031e-14
262,0.717808,368.023,1.00828,104,3.53868,0.115385,-2.22031e-14
263,0.720548,388.024,1.06308,105,3.69547,0.12381,2.22031e-14
264,0.723288,384.024,1.05212,105,3.65737,0.12381,0
265,0.726027,380.024,1.04116,105,3.61927,0.12381,0
266,0.728767,368.023,1.00828,105,3.50498,0.12381,-2.22031e-14
267,0.731507,396.025,1.085,105,3.77166,0.12381,4.44062e-14
268,0.734247,372.023,1.01924,105,3.54308,0.12381,-4.44062e-14
269,0.736986,388.024,1.06308,105,3.69547,0.12381,2.22031e-14
270,0.739726,388.024,1.06308,105,3.69547,0.12381,0
271,0.742466,380.024,1.04116,105,3.61927,0.12381,0
272,0.745205,380.024,1.04116,105,3.61927,0.12381,0
273,0.747945,360.022,0.986363,105,3.42879,0.12381,-2.22031e-14
274,0.750685,364.023,0.997322,105,3.46688,0.12381,0
275,0.753425,392.024,1.07404,105,3.73357,0.12381,2.22031e-14
276,0.756164,380.024,1.04116,105,3.61927,0.12381,0
277,0.758904,388.024,1.06308,105,3.69547,0.12381,0
278,0.761644,376.023,1.0302,105,3.58118,0.12381,0
279,0.764384,384.024,1.05212,105,3.65737,0.12381,0
280,0.767123,360.022,0.986363,105,3.42879,0.12381,-2.22031e-14
281,0.769863,396.025,1.085,105,3.77166,0.12381,4.44062e-14
282,0.772603,384.024,1.05212,105,3.65737,0.12381,-2.22031e-14
283,0.775342,364.023,0.997322,105,3.46688,0.12381,-2.22031e-14
284,0.778082,376.023,1.0302,105,3.58118,0.12381,2.22031e-14
285,0.780822,380.024,1.04116,105,3.61927,0.12381,0
286,0.783562,384.024,1.05212,105,3.65737,0.12381,0
287,0.786301,376.023,1.0302,105,3.58118,0.12381,0
288,0.789041,384.024,1.05212,105,3.65737,0.12381,0
289,0.791781,364.023,0.997322,105,3.46688,0.12381,-2.22031e-14
290,0.794521,364.023,0.997322,105,3.46688,0.12381,0
291,0.79726,380.024,1.04116,105,3.61927,0.12381,2.22031e-14
292,0.8,364.023,0.997322,105,3.46688,0.12381,-2.22031e-14
293,0.80274,372.023,1.01924,105,3.54308,0.12381,0
294,0.805479,372.023,1.01924,105,3.54308,0.12381,0
295,0.808219,376.023,1.0302,105,3.58118,0.12381,2.22031e-14
296,0.810959,392.024,1.07404,105,3.73357,0.12381,0
297,0.813699,376.023,1.0302,105,3.58118,0.12381,0
298,0.816438,392.024,1.07404,105,3.73357,0.12381,0
299,0.819178,372.023,1.01924,105,3.54308,0.12381,-2.22031e-14
300,0.821918,396.025,1.085,105,3.77166,0.12381,4.44062e-14
301,0.824658,360.022,0.986363,105,3.42879,0.12381,-4.44062e-14
302,0.827397,368.023,1.00828,105,3.50498,0.12381,0
303,0.830137,372.023,1.01924,105,3.54308,0.12381,0
304,0.832877,376.023,1.0302,105,3.58118,0.12381,2.22031e-14
305,0.835616,392.024,1.07404,105,3.73357,0.12381,0
306,0.838356,388.024,1.06308,105,3.69547,0.12381,0
307,0.841096,364.023,0.997322,105,3.46688,0.12381,-2.22031e-14
308,0.843836,392.024,1.07404,105,3.73357,0.12381,2.22031e-14
309,0.846575,368.023,1.00828,105,3.50498,0.12381,-2.22031e-14
310,0.849315,384.024,1.05212,105,3.65737,0.12381,2.22031e-14
311,0.852055,348.022,0.953484,105,3.31449,0.12381,-4.44062e-14
312,0.854795,368.023,1.00828,105,3.50498,0.12381,2.22031e-14
313,0.857534,352.022,0.964444,105,3.35259,0.12381,-2.22031e-14
314,0.860274,392.024,1.07404,105,3.73357,0.12381,4.44062e-14
315,0.863014,376.023,1.0302,105,3.58118,0.12381,0
316,0.865753,388.024,1.06308,105,3.69547,0.12381,0
317,0.868493,368.023,1.00828,105,3.50498,0.12381,-2.22031e-14
318,0.871233,392.024,1.07404,105,3.73357,0.12381,2.22031e-14
319,0.873973,356.022,0.975403,105,3.39069,0.12381,-4.44062e-14
320,0.876712,376.023,1.0302,105,3.58118,0.12381,4.44062e-14
321,0.879452,380.024,1.04116,105,3.61927,0.12381,0
322,0.882192,368.023,1.00828,105,3.50498,0.12381,-2.22031e-14
323,0.884932,380.024,1.04116,105,3.61927,0.12381,2.22031e-14
324,0.887671,384.024,1.05212,105,3.65737,0.12381,0
325,0.890411,396.025,1.085,105,3.77166,0.12381,2.22031e-14
326,0.893151,380.024,1.04116,105,3.61927,0.12381,-2.22031e-14
327,0.89589,392.024,1.07404,105,3.73357,0.12381,0
328,0.89863,376.023,1.0302,105,3.58118,0.12381,0
329,0.90137,376.023,1.0302,105,3.58118,0.12381,0
330,0.90411,376.023,1.0302,105,3.58118,0.12381,0
331,0.906849,392.024,1.07404,105,3.73357,0.12381,0
332,0.909589,376.023,1.0302,105,3.58118,0.12381,0
333,0.912329,372.023,1.01924,105,3.54308,0.12381,-2.22031e-14
334,0.915068,372.023,1.01924,105,3.54308,0.12381,0
335,0.917808,388.024,1.06308,105,3.69547,0.12381,2.22031e-14
336,0.920548,368.023,1.00828,105,3.50498,0.12381,-2.22031e-14
337,0.923288,400.025,1.09596,105,3.80976,0.12381,4.44062e-14
338,0.926027,388.024,1.06308,105,3.69547,0.12381,-2.22031e-14
339,0.928767,380.024,1.04116,105,3.61927,0.12381,0
340,0.931507,380.024,1.04116,105,3.61927,0.12381,0
341,0.934247,368.023,1.00828,105,3.50498,0.12381,-2.22031e-14
342,0.936986,388.024,1.06308,105,3.69547,0.12381,2.22031e-14
343,0.939726,372.023,1.01924,105,3.54308,0.12381,-2.22031e-14
344,0.942466,372.023,1.01924,105,3.54308,0.12381,0
345,0.945205,388.024,1.06308,105,3.69547,0.12381,2.22031e-14
346,0.947945,380.024,1.04116,105,3.61927,0.12381,0
347,0.950685,380.024,1.04116,105,3.61927,0.12381,0
348,0.953425,380.024,1.04116,105,3.61927,0.12381,0
349,0.956164,368.023,1.00828,105,3.50498,0.12381,-2.22031e-14
350,0.958904,384.024,1.05212,105,3.65737,0.12381,2.22031e-14
351,0.961644,380.024,1.04116,105,3.61927,0.12381,0
352,0.964384,388.024,1.06308,105,3.69547,0.12381,0
353,0.967123,392.024,1.07404,105,3.73357,0.12381,0
354,0.969863,368.023,1.00828,105,3.50498,0.12381,-2.22031e-14
355,0.972603,384.024,1.05212,105,3.65737,0.12381,2.22031e-14
356,0.975342,384.024,1.05212,105,3.65737,0.12381,0
357,0.978082,380.024,1.04116,105,3.61927,0.12381,0
358,0.980822,364.023,0.997322,105,3.46688,0.12381,-2.22031e-14
359,0.983562,380.024,1.04116,105,3.61927,0.12381,2.22031e-14
360,0.986301,380.024,1.04116,105,3.61927,0.12381,0
361,0.989041,384.024,1.05212,105,3.65737,0.12381,0
362,0.991781,364.023,0.997322,105,3.46688,0.12381,-2.22031e-14
